titles,dates,links
Native American Masterpieces from the Charles and Valerie Diker Collection,Closing Soon,http://www.metmuseum.org/exhibitions/listings/2016/native-american-masterpieces-diker-collection
Marisa Merz: The Sky Is a Great Space,Through March 31,http://www.metmuseum.org/exhibitions/listings/2017/marisa-merz
The Mysterious Landscapes of Hercules Segers,Through May 7,http://www.metmuseum.org/exhibitions/listings/2017/hercules-segers
Seurat's Circus Sideshow,Through May 21,http://www.metmuseum.org/exhibitions/listings/2017/seurat-circus-sideshow
Marsden Hartley's Maine,Through May 29,http://www.metmuseum.org/exhibitions/listings/2017/marsden-hartley
Lygia Pape: A Multitude of Forms,Just Opened,http://www.metmuseum.org/exhibitions/listings/2017/lygia-pape
Celebrating the Arts of Japan: The Mary Griggs Burke Collection,Through June 18,http://www.metmuseum.org/exhibitions/listings/2015/celebrating-the-arts-of-japan
Small Wonders: Gothic Boxwood Miniatures,Just Opened,http://www.metmuseum.org/exhibitions/listings/2017/small-wonders
Breuer Revisited: New Photographs by Luisa Lambri and Bas Princen,Through July 23,http://www.metmuseum.org/exhibitions/listings/2017/breuer-revisited
Splendors of Korean Art,Through May 14,http://www.metmuseum.org/exhibitions/listings/2016/splendors-of-korean-art
"Workshop and Legacy: Stanley William Hayter, Krishna Reddy, Zarina Hashmi",Through May 21,http://www.metmuseum.org/exhibitions/listings/2016/workshop-and-legacy
European Paintings: Recent Acquisitions 2015–16,Through May 21,http://www.metmuseum.org/exhibitions/listings/2016/european-paintings-recent-acquisitions
Picturing Math: Selections from the Department of Drawings and Prints,Through September 17,http://www.metmuseum.org/exhibitions/listings/2017/picturing-math
City of Memory: William Chappel's Views of Early 19th-Century New York,Closing Soon,http://www.metmuseum.org/exhibitions/listings/2016/william-chappel
The Poetics of Place: Contemporary Photographs from The Met Collection,Through March 26,http://www.metmuseum.org/exhibitions/listings/2016/poetics-of-place
Scholastic Art & Writing Awards: New York City Regional Exhibition,Closing Soon,http://www.metmuseum.org/exhibitions/listings/2017/scholastic-awards
Renaissance Maiolica: Painted Pottery for Shelf and Table ,Through March 26,http://www.metmuseum.org/exhibitions/listings/2016/renaissance-maiolica
Renaissance Portrait Medals from the Robert Lehman Collection,Through May 8,http://www.metmuseum.org/exhibitions/listings/2016/renaissance-portrait-medals
An Artist of Her Time: Y. G. Srimati and the Indian Style,Through May 14,http://www.metmuseum.org/exhibitions/listings/2016/srimati
The Aesthetic Movement in America,Through May 28,http://www.metmuseum.org/exhibitions/listings/2016/aesthetic-movement
Selections from the Collection of Jefferson R. Burdick,Just Opened,http://www.metmuseum.org/exhibitions/listings/2016/burdick-collection-november-rotation
Celebrating the Year of the Rooster,Through May 29,http://www.metmuseum.org/exhibitions/listings/2017/year-of-the-rooster
Arms and Armor from the Islamic World,Through May 29,http://www.metmuseum.org/exhibitions/listings/2016/arms-and-armor-islamic-world
Simple Gifts: Shaker at The Met,Through May 29,http://www.metmuseum.org/exhibitions/listings/2016/simple-gifts
Show and Tell: Stories in Chinese Painting,Through June 18,http://www.metmuseum.org/exhibitions/listings/2016/show-and-tell
Paradise of Exiles: Early Photography in Italy,Through June 25,http://www.metmuseum.org/exhibitions/listings/2017/paradise-of-exiles
Carpets for Kings: Six Masterpieces of Iranian Weaving,Through June 25,http://www.metmuseum.org/exhibitions/listings/2017/carpets-for-kings
The Secret Life of Textiles: Synthetic Materials,Through July 4,http://www.metmuseum.org/exhibitions/listings/2017/secret-life-of-textiles-synthetic
Collecting the Arts of Mexico,Through July 31,http://www.metmuseum.org/exhibitions/listings/2015/collecting-the-arts-of-mexico
Sara Berman's Closet,Through August 6,http://www.metmuseum.org/exhibitions/listings/2017/sara-berman-closet
Late Antique Textiles and Modern Design,Through August 6,http://www.metmuseum.org/exhibitions/listings/2016/late-antique-textiles-and-modern-design
"Cinnabar: The Chinese Art of Carved Lacquer, 14th to 19th Century",Just Opened,http://www.metmuseum.org/exhibitions/listings/2016/cinnabar
From the Imperial Theater: Chinese Opera Costumes of the 18th and 19th Centuries ,Through August 13,http://www.metmuseum.org/exhibitions/listings/2016/from-the-imperial-theater
Colors of the Universe: Chinese Hardstone Carvings,Through August 27,http://www.metmuseum.org/exhibitions/listings/2016/colors-of-the-universe
Asian Art at 100: A History in Photographs,Through September 4,http://www.metmuseum.org/exhibitions/listings/2015/asian-art-history-in-photographs
Sol LeWitt: Wall Drawing #370,Through September 4,http://www.metmuseum.org/exhibitions/listings/2014/sol-lewitt
